"year","county","fips","Value"
1895,"Apache","04001",48.325
1896,"Apache","04001",50.1666666666667
1897,"Apache","04001",49.2833333333333
1898,"Apache","04001",49.225
1899,"Apache","04001",49.775
1900,"Apache","04001",51.025
1901,"Apache","04001",51.2833333333333
1902,"Apache","04001",50.8833333333333
1903,"Apache","04001",49.325
1904,"Apache","04001",50.6416666666667
1905,"Apache","04001",49.8583333333333
1906,"Apache","04001",49.9583333333333
1907,"Apache","04001",50.55
1908,"Apache","04001",49.4583333333333
1909,"Apache","04001",49.35
1910,"Apache","04001",52.1333333333333
1911,"Apache","04001",50.1
1912,"Apache","04001",47.9083333333333
1913,"Apache","04001",47.925
1914,"Apache","04001",50.525
1915,"Apache","04001",48.6833333333333
1916,"Apache","04001",49.8833333333333
1917,"Apache","04001",49.3166666666667
1918,"Apache","04001",49.4583333333333
1919,"Apache","04001",48.4583333333333
1920,"Apache","04001",48.625
1921,"Apache","04001",50.875
1922,"Apache","04001",49.3583333333333
1923,"Apache","04001",48.4916666666667
1924,"Apache","04001",48.8583333333333
1925,"Apache","04001",49.825
1926,"Apache","04001",50.3833333333333
1927,"Apache","04001",50.5
1928,"Apache","04001",50.0833333333333
1929,"Apache","04001",49.1083333333333
1930,"Apache","04001",48.8416666666667
1931,"Apache","04001",49.1
1932,"Apache","04001",48.3416666666667
1933,"Apache","04001",48.75
1934,"Apache","04001",52.3166666666667
1935,"Apache","04001",49.5583333333333
1936,"Apache","04001",50.675
1937,"Apache","04001",49.4583333333333
1938,"Apache","04001",49.9416666666667
1939,"Apache","04001",50.1583333333333
1940,"Apache","04001",51.05
1941,"Apache","04001",48.975
1942,"Apache","04001",49.525
1943,"Apache","04001",51.1416666666667
1944,"Apache","04001",48.7666666666667
1945,"Apache","04001",49.1666666666667
1946,"Apache","04001",50.3416666666667
1947,"Apache","04001",49.55
1948,"Apache","04001",49.1916666666667
1949,"Apache","04001",48.7666666666667
1950,"Apache","04001",50.9083333333333
1951,"Apache","04001",49.4083333333333
1952,"Apache","04001",49.0166666666667
1953,"Apache","04001",49.7083333333333
1954,"Apache","04001",51.4333333333333
1955,"Apache","04001",49.0166666666667
1956,"Apache","04001",49.6916666666667
1957,"Apache","04001",49.9666666666667
1958,"Apache","04001",50.5916666666667
1959,"Apache","04001",50.275
1960,"Apache","04001",49.5
1961,"Apache","04001",49.2083333333333
1962,"Apache","04001",49.9416666666667
1963,"Apache","04001",50.3083333333333
1964,"Apache","04001",48.1416666666667
1965,"Apache","04001",48.8166666666667
1966,"Apache","04001",50.0416666666667
1967,"Apache","04001",49.375
1968,"Apache","04001",48.2
1969,"Apache","04001",50.05
1970,"Apache","04001",48.975
1971,"Apache","04001",48.6166666666667
1972,"Apache","04001",49.9916666666667
1973,"Apache","04001",48.25
1974,"Apache","04001",49.425
1975,"Apache","04001",47.725
1976,"Apache","04001",49.05
1977,"Apache","04001",50.225
1978,"Apache","04001",50.15
1979,"Apache","04001",48.6666666666667
1980,"Apache","04001",50.225
1981,"Apache","04001",51.4666666666667
1982,"Apache","04001",49.1333333333333
1983,"Apache","04001",49.5083333333333
1984,"Apache","04001",49.4333333333333
1985,"Apache","04001",49.8416666666667
1986,"Apache","04001",50.6583333333333
1987,"Apache","04001",49.0333333333333
1988,"Apache","04001",49.8416666666667
1989,"Apache","04001",51.0166666666667
1990,"Apache","04001",49.8416666666667
1991,"Apache","04001",49.1166666666667
1992,"Apache","04001",49.0916666666667
1993,"Apache","04001",49.95
1994,"Apache","04001",50.8666666666667
1995,"Apache","04001",51.0166666666667
1996,"Apache","04001",51.8333333333333
1997,"Apache","04001",50.1333333333333
1998,"Apache","04001",50.3416666666667
1999,"Apache","04001",50.8416666666667
2000,"Apache","04001",51.975
2001,"Apache","04001",51.4833333333333
