"Year","County.ANSI","County","Commodity","Data.Item","Value","County.FIPS"
2023,NA,"OTHER COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",842000,NA
2023,NA,"OTHER COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",594400,NA
2023,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",30600,"04015"
2023,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",510000,"04013"
2023,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",239000,"04013"
2023,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",628000,"04021"
2023,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",468000,"04021"
2023,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2479000,"04027"
2022,NA,"OTHER COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1127000,NA
2022,NA,"OTHER COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1361000,NA
2022,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",245000,"04015"
2022,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1475000,"04013"
2022,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1001000,"04021"
2022,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2045000,"04021"
2022,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4450000,"04027"
2021,NA,"OTHER COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",885000,NA
2021,NA,"OTHER COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",774000,NA
2021,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",49000,"04015"
2021,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",597000,"04013"
2021,21,"PINAL","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",1115000,"04021"
2021,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1071000,"04021"
2021,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2819000,"04027"
2020,NA,"OTHER COUNTIES","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",976000,NA
2020,NA,"OTHER COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",356300,NA
2020,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",70700,"04015"
2020,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",299000,"04012"
2020,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",488000,"04013"
2020,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",858000,"04021"
2020,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2779000,"04027"
2018,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",89000,NA
2018,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",835000,"04013"
2018,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",824000,NA
2018,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1300000,"04021"
2018,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4690000,"04027"
2017,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",468000,NA
2017,12,"LAPAZ","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",348000,"04012"
2017,NA,"OTHER (COMBINED) COUNTIES","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1816000,NA
2017,21,"PINAL","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",2005000,"04021"
2017,27,"YUMA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",4352000,"04027"
2016,15,"MOHAVE","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",205000,"04015"
2016,9,"GRAHAM","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",153000,"04009"
2016,13,"MARICOPA","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU",699000,"04013"
2016,13,"MARICOPA","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",1167000,"04013"
